Date,Symbol,Open,High,Low,Close,Volume
2018-01-01,FPT,35100.0,35300.0,34950.0,35000.0,5162128
2018-01-02,FPT,35200.0,35300.0,34200.0,34300.0,5868069
2018-01-03,FPT,34350.0,34400.0,34100.0,34200.0,6259228
2018-01-04,FPT,34250.0,34250.0,33700.0,33950.0,7020498
2018-01-05,FPT,34000.0,34600.0,34000.0,34500.0,5227347
2018-01-08,FPT,34600.0,34900.0,34100.0,34800.0,4768585
2018-01-09,FPT,34900.0,35300.0,34400.0,34500.0,7437550
2018-01-10,FPT,34400.0,34600.0,34250.0,34400.0,4188415
2018-01-11,FPT,34450.0,34500.0,34200.0,34300.0,6069814
2018-01-12,FPT,34350.0,34500.0,34300.0,34450.0,3727094
2018-01-15,FPT,34650.0,34950.0,34350.0,34550.0,7702883
2018-01-16,FPT,34600.0,34700.0,33100.0,33450.0,9576402
2018-01-17,FPT,33550.0,34000.0,33500.0,33850.0,6085435
2018-01-18,FPT,33750.0,34300.0,33550.0,33900.0,7603316
2018-01-19,FPT,33900.0,34100.0,33750.0,34100.0,7092277
2018-01-22,FPT,34150.0,34250.0,33950.0,34150.0,4654014
2018-01-23,FPT,34350.0,34750.0,33300.0,33650.0,6820676
2018-01-24,FPT,33700.0,33850.0,33100.0,33100.0,6658382
2018-01-25,FPT,33050.0,33650.0,32950.0,33650.0,8001171
2018-01-26,FPT,33750.0,33750.0,32700.0,32750.0,6256497
2018-01-29,FPT,32850.0,33050.0,32600.0,32650.0,4891098
2018-01-30,FPT,32650.0,32750.0,31650.0,32150.0,8661488
2018-01-31,FPT,32150.0,32600.0,31950.0,32450.0,5483781
2018-02-01,FPT,32650.0,32900.0,32450.0,32800.0,6088448
2018-02-02,FPT,32700.0,33050.0,32500.0,32800.0,6344477
2018-02-05,FPT,32800.0,34000.0,32450.0,33850.0,7610066
2018-02-06,FPT,33950.0,34150.0,33900.0,34050.0,4609402
2018-02-07,FPT,33900.0,34200.0,33750.0,34050.0,5733745
2018-02-08,FPT,34150.0,34750.0,34050.0,34400.0,6797810
2018-02-09,FPT,34400.0,34500.0,33950.0,33950.0,6993765
2018-02-12,FPT,34200.0,34600.0,34100.0,34450.0,4713277
2018-02-13,FPT,34500.0,35150.0,34450.0,35000.0,4616621
2018-02-14,FPT,35100.0,35200.0,34900.0,35200.0,4416881
2018-02-15,FPT,35100.0,35550.0,35050.0,35150.0,4257406
2018-02-16,FPT,35150.0,35400.0,34450.0,34500.0,5962232
2018-02-19,FPT,34500.0,35450.0,34300.0,35400.0,6498788
2018-02-20,FPT,35700.0,36100.0,34600.0,34700.0,7215064
2018-02-21,FPT,34750.0,34850.0,34400.0,34450.0,6509938
2018-02-22,FPT,34550.0,34600.0,32800.0,32950.0,9233974
2018-02-23,FPT,32900.0,33050.0,31900.0,32300.0,7964729
2018-02-26,FPT,32100.0,32300.0,31100.0,31450.0,8615847
2018-02-27,FPT,31400.0,31450.0,30250.0,30500.0,6960112
2018-02-28,FPT,30700.0,31000.0,30550.0,31000.0,5700449
2018-03-01,FPT,31000.0,31250.0,30800.0,31050.0,7660934
2018-03-02,FPT,31000.0,31000.0,30700.0,30750.0,4778908
2018-03-05,FPT,31050.0,31150.0,30900.0,31000.0,6887626
2018-03-06,FPT,31150.0,31750.0,30850.0,31400.0,5390647
2018-03-07,FPT,31350.0,31900.0,31200.0,31750.0,5137280
2018-03-08,FPT,31750.0,32100.0,31500.0,32050.0,6315501
2018-03-09,FPT,31950.0,32750.0,31900.0,32400.0,6105193
2018-03-12,FPT,32350.0,32600.0,31950.0,32050.0,6884785
2018-03-13,FPT,31900.0,32350.0,31750.0,32250.0,7012157
2018-03-14,FPT,32200.0,32300.0,31850.0,31950.0,4462319
2018-03-15,FPT,31900.0,31950.0,31450.0,31650.0,4638405
2018-03-16,FPT,31600.0,31750.0,31250.0,31250.0,6580059
2018-03-19,FPT,31200.0,31450.0,31100.0,31300.0,6653203
2018-03-20,FPT,31200.0,31900.0,31100.0,31600.0,7455280
2018-03-21,FPT,31700.0,31800.0,31550.0,31750.0,5163014
2018-03-22,FPT,31900.0,32150.0,31600.0,31650.0,6300926
2018-03-23,FPT,31500.0,31900.0,31100.0,31150.0,8075537
2018-03-26,FPT,30800.0,30900.0,30050.0,30150.0,7544134
2018-03-27,FPT,30200.0,30800.0,30100.0,30450.0,5685718
2018-03-28,FPT,30450.0,30800.0,30450.0,30750.0,5826281
2018-03-29,FPT,30700.0,30800.0,30200.0,30350.0,6359953
2018-03-30,FPT,30200.0,30400.0,29600.0,29650.0,5734946
2018-04-02,FPT,29700.0,29950.0,29600.0,29900.0,4475000
2018-04-03,FPT,29800.0,30450.0,29700.0,30250.0,7896255
2018-04-04,FPT,30150.0,30800.0,29800.0,30800.0,7076648
2018-04-05,FPT,30700.0,31500.0,30550.0,31400.0,7932471
2018-04-06,FPT,31450.0,31500.0,30850.0,31050.0,6193960
2018-04-09,FPT,31050.0,31100.0,30700.0,30950.0,7475508
2018-04-10,FPT,30850.0,30950.0,30800.0,30800.0,3596610
2018-04-11,FPT,30700.0,30800.0,30250.0,30450.0,4956198
2018-04-12,FPT,30500.0,31400.0,30450.0,31350.0,7986811
2018-04-13,FPT,31500.0,31750.0,31500.0,31700.0,6347541
2018-04-16,FPT,31650.0,31750.0,31100.0,31100.0,4803788
2018-04-17,FPT,31300.0,31450.0,31100.0,31300.0,4269034
2018-04-18,FPT,31150.0,31800.0,31100.0,31550.0,7971437
2018-04-19,FPT,31700.0,32000.0,31500.0,31600.0,5946084
2018-04-20,FPT,31300.0,31600.0,31200.0,31550.0,4412017
2018-04-23,FPT,31550.0,31850.0,31050.0,31100.0,6463612
2018-04-24,FPT,31100.0,31150.0,30450.0,30600.0,6944786
2018-04-25,FPT,30500.0,31300.0,30500.0,31200.0,6227408
2018-04-26,FPT,31100.0,32600.0,31100.0,32300.0,9747207
2018-04-27,FPT,32200.0,32500.0,32000.0,32150.0,7314665
2018-04-30,FPT,32450.0,32600.0,31950.0,32250.0,4688714
2018-05-01,FPT,32300.0,32450.0,32100.0,32250.0,6227611
2018-05-02,FPT,32300.0,32450.0,32200.0,32300.0,5343854
2018-05-03,FPT,32300.0,32500.0,31900.0,32000.0,5369760
2018-05-04,FPT,32050.0,32050.0,31450.0,31550.0,6545705
2018-05-07,FPT,31750.0,31950.0,31650.0,31850.0,6800270
2018-05-08,FPT,32100.0,32750.0,32000.0,32600.0,6449309
2018-05-09,FPT,32550.0,33050.0,32450.0,32900.0,4772923
2018-05-10,FPT,33200.0,33300.0,32050.0,32750.0,8494253
2018-05-11,FPT,32900.0,33250.0,32400.0,32500.0,5331437
2018-05-14,FPT,32600.0,32800.0,32250.0,32750.0,4923497
2018-05-15,FPT,32850.0,33000.0,32500.0,32550.0,4217679
2018-05-16,FPT,32600.0,33600.0,32250.0,33250.0,6301504
2018-05-17,FPT,33400.0,33650.0,32550.0,32700.0,7108345
2018-05-18,FPT,32650.0,33200.0,32450.0,33200.0,7004242
2018-05-21,FPT,33450.0,33500.0,32700.0,32700.0,7807222
2018-05-22,FPT,32700.0,33200.0,32700.0,33100.0,7765213
2018-05-23,FPT,33450.0,33700.0,33300.0,33350.0,5397394
2018-05-24,FPT,33550.0,33750.0,32800.0,32850.0,8495038
2018-05-25,FPT,33000.0,33150.0,31900.0,32150.0,8060036
2018-05-28,FPT,32100.0,32200.0,31750.0,31800.0,5085289
2018-05-29,FPT,31650.0,31650.0,31450.0,31450.0,6473511
2018-05-30,FPT,31350.0,31750.0,31100.0,31550.0,6199925
2018-05-31,FPT,31750.0,31800.0,30950.0,31150.0,8299818
2018-06-01,FPT,31100.0,31200.0,30500.0,30750.0,7370682
2018-06-04,FPT,31050.0,31150.0,30450.0,30550.0,4849036
2018-06-05,FPT,30450.0,30850.0,30100.0,30850.0,8006284
2018-06-06,FPT,30700.0,31150.0,30650.0,31050.0,6534397
2018-06-07,FPT,31000.0,32150.0,30900.0,32050.0,6509133
2018-06-08,FPT,32050.0,32650.0,31700.0,32350.0,7338753
2018-06-11,FPT,32500.0,32700.0,31450.0,31600.0,6013854
2018-06-12,FPT,31600.0,31700.0,31400.0,31500.0,5143949
2018-06-13,FPT,31600.0,31700.0,31250.0,31400.0,7270823
2018-06-14,FPT,31450.0,31500.0,29950.0,30000.0,8369096
2018-06-15,FPT,30050.0,30600.0,30000.0,30400.0,7049540
2018-06-18,FPT,30200.0,30850.0,29800.0,30650.0,7006627
2018-06-19,FPT,30350.0,30650.0,30050.0,30600.0,7848666
2018-06-20,FPT,30750.0,31300.0,30700.0,31150.0,5268710
2018-06-21,FPT,31000.0,31850.0,30850.0,31750.0,7932854
2018-06-22,FPT,31600.0,31650.0,30900.0,30900.0,5335888
2018-06-25,FPT,30800.0,31350.0,30650.0,31200.0,6606285
2018-06-26,FPT,31200.0,31250.0,30650.0,31150.0,6638096
2018-06-27,FPT,31250.0,31400.0,29500.0,29550.0,8092458
2018-06-28,FPT,29300.0,29550.0,29000.0,29350.0,4593682
2018-06-29,FPT,29200.0,29250.0,28700.0,28900.0,5200780
2018-07-02,FPT,28850.0,29000.0,28300.0,28400.0,7020788
2018-07-03,FPT,28350.0,28400.0,27900.0,27950.0,5148634
2018-07-04,FPT,28050.0,28150.0,27900.0,28050.0,4953445
2018-07-05,FPT,28150.0,28350.0,27250.0,27400.0,8099105
2018-07-06,FPT,27400.0,27450.0,27300.0,27300.0,5058755
2018-07-09,FPT,27300.0,27550.0,27250.0,27500.0,6724268
2018-07-10,FPT,27350.0,27900.0,27300.0,27800.0,5024054
2018-07-11,FPT,27700.0,27800.0,27550.0,27550.0,6459611
2018-07-12,FPT,27400.0,27800.0,27400.0,27500.0,4826183
2018-07-13,FPT,27650.0,27750.0,26950.0,27000.0,7156653
2018-07-16,FPT,27000.0,27100.0,26800.0,26900.0,5963677
2018-07-17,FPT,27000.0,27150.0,25650.0,25850.0,9816050
2018-07-18,FPT,25900.0,26000.0,25700.0,25900.0,6156109
