Date,Symbol,Open,High,Low,Close,Volume
2018-01-01,MWG,42050.0,42250.0,41900.0,42000.0,11898286
2018-01-02,MWG,42050.0,43200.0,42000.0,43100.0,11533912
2018-01-03,MWG,43250.0,45000.0,43200.0,44850.0,16869430
2018-01-04,MWG,45150.0,45350.0,44050.0,44100.0,13395811
2018-01-05,MWG,44000.0,44350.0,42850.0,42900.0,14006712
2018-01-08,MWG,43350.0,43800.0,42000.0,42500.0,14341062
2018-01-09,MWG,42400.0,42600.0,41750.0,41800.0,10347787
2018-01-10,MWG,41700.0,43450.0,41400.0,43100.0,15120199
2018-01-11,MWG,43250.0,43550.0,41200.0,41350.0,17010221
2018-01-12,MWG,41150.0,41200.0,39450.0,39450.0,14493988
2018-01-15,MWG,39250.0,40500.0,38850.0,40300.0,15153150
2018-01-16,MWG,40400.0,40400.0,39250.0,39500.0,11906150
2018-01-17,MWG,39600.0,39650.0,38950.0,39150.0,12230139
2018-01-18,MWG,39000.0,39850.0,39000.0,39650.0,9289523
2018-01-19,MWG,39650.0,39800.0,39350.0,39800.0,10188922
2018-01-22,MWG,39800.0,40300.0,39550.0,40150.0,8779262
2018-01-23,MWG,40000.0,41550.0,39950.0,41300.0,15738187
2018-01-24,MWG,41550.0,41550.0,41100.0,41300.0,10051545
2018-01-25,MWG,41500.0,41750.0,40550.0,40750.0,11798992
2018-01-26,MWG,40600.0,41300.0,40600.0,41050.0,12039037
2018-01-29,MWG,41150.0,41200.0,39950.0,40100.0,15455405
2018-01-30,MWG,40100.0,40500.0,39900.0,40350.0,12038222
2018-01-31,MWG,40450.0,40850.0,39550.0,39650.0,13458217
2018-02-01,MWG,39550.0,40000.0,39350.0,39900.0,10178288
2018-02-02,MWG,39900.0,40350.0,39650.0,40150.0,12757472
2018-02-05,MWG,40300.0,40350.0,40100.0,40200.0,11940271
2018-02-06,MWG,40000.0,40200.0,40000.0,40150.0,9814067
2018-02-07,MWG,40100.0,40200.0,39250.0,39500.0,14308484
2018-02-08,MWG,39050.0,40350.0,39000.0,40300.0,16963254
2018-02-09,MWG,40550.0,41550.0,40400.0,41550.0,9990369
2018-02-12,MWG,41650.0,41700.0,41500.0,41500.0,11915956
2018-02-13,MWG,41350.0,41500.0,41050.0,41100.0,13210696
2018-02-14,MWG,41050.0,41650.0,40500.0,41400.0,14542846
2018-02-15,MWG,41300.0,41400.0,39300.0,39650.0,18764900
2018-02-16,MWG,39250.0,39450.0,38900.0,39050.0,10147967
2018-02-19,MWG,39000.0,39050.0,37900.0,37950.0,15302312
2018-02-20,MWG,38000.0,38100.0,37850.0,37950.0,11712999
2018-02-21,MWG,38300.0,38550.0,37550.0,37850.0,9661347
2018-02-22,MWG,37800.0,39650.0,37650.0,39400.0,12836746
2018-02-23,MWG,39600.0,40200.0,39500.0,39850.0,13356867
2018-02-26,MWG,39650.0,39900.0,38200.0,38200.0,14540802
2018-02-27,MWG,38100.0,38450.0,37950.0,38100.0,13463792
2018-02-28,MWG,38100.0,39100.0,38050.0,38900.0,12743939
2018-03-01,MWG,39100.0,40000.0,39050.0,39750.0,14860424
2018-03-02,MWG,39800.0,40200.0,39400.0,39550.0,13766012
2018-03-05,MWG,39550.0,39850.0,38600.0,38800.0,10865003
2018-03-06,MWG,38650.0,39800.0,38100.0,39700.0,17637586
2018-03-07,MWG,39450.0,40100.0,39300.0,39850.0,12104463
2018-03-08,MWG,39950.0,41800.0,39850.0,41750.0,14465658
2018-03-09,MWG,41750.0,41800.0,39900.0,40150.0,15171017
2018-03-12,MWG,40150.0,41450.0,39650.0,41250.0,12094619
2018-03-13,MWG,41200.0,42250.0,41050.0,41950.0,15185475
2018-03-14,MWG,42050.0,42650.0,41850.0,42450.0,13003266
2018-03-15,MWG,42650.0,42950.0,41050.0,41600.0,15089661
2018-03-16,MWG,41550.0,42600.0,41350.0,42350.0,13082180
2018-03-19,MWG,42400.0,42850.0,40650.0,40800.0,14596882
2018-03-20,MWG,40800.0,42550.0,40450.0,42400.0,18468074
2018-03-21,MWG,42400.0,42750.0,41100.0,41600.0,15945467
2018-03-22,MWG,41450.0,41750.0,40900.0,41000.0,11436798
2018-03-23,MWG,41050.0,42000.0,41000.0,41950.0,9870745
2018-03-26,MWG,42000.0,42050.0,40400.0,40950.0,12720838
2018-03-27,MWG,41050.0,41150.0,39900.0,40050.0,11418453
2018-03-28,MWG,40500.0,40600.0,39650.0,40050.0,11298185
2018-03-29,MWG,39700.0,40450.0,39550.0,40350.0,13714950
2018-03-30,MWG,39900.0,40850.0,39850.0,40750.0,9776207
2018-04-02,MWG,40900.0,41150.0,39250.0,39350.0,16192317
2018-04-03,MWG,39150.0,39750.0,38750.0,39550.0,11945721
2018-04-04,MWG,39250.0,41500.0,39200.0,41250.0,15639298
2018-04-05,MWG,41250.0,41600.0,39350.0,39550.0,13586171
2018-04-06,MWG,39450.0,39450.0,37800.0,37900.0,11626549
2018-04-09,MWG,37800.0,37950.0,36650.0,36800.0,12212899
2018-04-10,MWG,36650.0,36800.0,36100.0,36100.0,9968179
2018-04-11,MWG,36450.0,37250.0,36250.0,37150.0,10951148
2018-04-12,MWG,37000.0,39050.0,36950.0,38700.0,14217173
2018-04-13,MWG,38600.0,38900.0,38350.0,38850.0,12906909
2018-04-16,MWG,39050.0,39300.0,38200.0,38650.0,14727582
2018-04-17,MWG,38700.0,38800.0,37550.0,37650.0,10458766
2018-04-18,MWG,37850.0,38650.0,37650.0,38300.0,13592557
2018-04-19,MWG,38350.0,39450.0,38350.0,39250.0,12656262
2018-04-20,MWG,39150.0,40200.0,38950.0,39950.0,16020972
2018-04-23,MWG,39950.0,40300.0,39650.0,40250.0,9223968
2018-04-24,MWG,40300.0,40500.0,40300.0,40300.0,9434186
2018-04-25,MWG,40300.0,40900.0,40300.0,40600.0,8188730
2018-04-26,MWG,40750.0,41750.0,40600.0,41650.0,13564643
2018-04-27,MWG,41450.0,42900.0,41100.0,42750.0,11714395
2018-04-30,MWG,42450.0,44450.0,42450.0,44050.0,15403166
2018-05-01,MWG,44000.0,44300.0,43900.0,44150.0,10968788
2018-05-02,MWG,44300.0,45550.0,44150.0,45150.0,16653212
2018-05-03,MWG,45100.0,45950.0,44850.0,45750.0,9033492
2018-05-04,MWG,45800.0,45900.0,45200.0,45350.0,12534568
2018-05-07,MWG,45400.0,45750.0,44400.0,44500.0,15087385
2018-05-08,MWG,44200.0,44550.0,43750.0,44300.0,14520486
2018-05-09,MWG,44200.0,44650.0,43650.0,44050.0,12788447
2018-05-10,MWG,44050.0,44600.0,43150.0,43300.0,16703620
2018-05-11,MWG,43550.0,44500.0,43450.0,44450.0,12689395
2018-05-14,MWG,44550.0,45300.0,44500.0,45100.0,8661124
2018-05-15,MWG,44900.0,45300.0,44850.0,45000.0,8545576
2018-05-16,MWG,44800.0,45550.0,44500.0,45200.0,13417958
2018-05-17,MWG,45350.0,45500.0,44100.0,44200.0,10753701
2018-05-18,MWG,44550.0,44700.0,43100.0,43250.0,13043001
2018-05-21,MWG,43550.0,44050.0,43100.0,43850.0,12011854
2018-05-22,MWG,43650.0,44000.0,42800.0,43150.0,11282220
2018-05-23,MWG,43300.0,43750.0,43000.0,43600.0,11524763
2018-05-24,MWG,43850.0,45100.0,43850.0,44650.0,15347520
2018-05-25,MWG,44600.0,45900.0,44450.0,45650.0,14747201
2018-05-28,MWG,45750.0,45900.0,44700.0,44950.0,14389275
2018-05-29,MWG,45300.0,45700.0,43850.0,43850.0,16575715
2018-05-30,MWG,44150.0,44500.0,42850.0,42900.0,13940118
2018-05-31,MWG,42950.0,43250.0,42400.0,42600.0,13149461
2018-06-01,MWG,42550.0,42950.0,42300.0,42700.0,8665928
2018-06-04,MWG,42600.0,43150.0,42550.0,42850.0,9939351
2018-06-05,MWG,42850.0,42950.0,42650.0,42900.0,10551080
2018-06-06,MWG,42650.0,44300.0,42400.0,43950.0,14257462
2018-06-07,MWG,43800.0,44100.0,43700.0,43850.0,11394025
2018-06-08,MWG,43850.0,44450.0,43650.0,44300.0,10417711
2018-06-11,MWG,44450.0,46100.0,44150.0,45850.0,15916306
2018-06-12,MWG,45850.0,46150.0,44800.0,44850.0,13197165
2018-06-13,MWG,44600.0,44850.0,43550.0,44050.0,12179157
2018-06-14,MWG,44000.0,45200.0,43850.0,45050.0,11757220
2018-06-15,MWG,44950.0,45250.0,44000.0,44100.0,15770873
2018-06-18,MWG,44200.0,44250.0,43500.0,43700.0,13577498
2018-06-19,MWG,43600.0,44450.0,43550.0,44050.0,13863300
2018-06-20,MWG,44500.0,44850.0,43150.0,43500.0,16090671
2018-06-21,MWG,43500.0,43650.0,42950.0,43150.0,10217611
2018-06-22,MWG,43250.0,43400.0,42850.0,43000.0,8397914
2018-06-25,MWG,43150.0,43250.0,42300.0,42700.0,10913626
2018-06-26,MWG,42550.0,42700.0,41850.0,42050.0,10482988
2018-06-27,MWG,42200.0,42500.0,41900.0,42300.0,9596127
2018-06-28,MWG,42250.0,42400.0,41350.0,41650.0,14254540
2018-06-29,MWG,41850.0,41950.0,40750.0,40950.0,16351348
2018-07-02,MWG,40850.0,41850.0,40750.0,41800.0,15041734
2018-07-03,MWG,41800.0,42600.0,41750.0,42300.0,11566926
2018-07-04,MWG,42200.0,43400.0,42100.0,42950.0,10134003
2018-07-05,MWG,42600.0,43250.0,42200.0,43000.0,10430578
2018-07-06,MWG,42800.0,43400.0,42450.0,43200.0,15367637
2018-07-09,MWG,43250.0,43500.0,41950.0,42300.0,12894048
2018-07-10,MWG,42300.0,43650.0,42250.0,43400.0,15787115
2018-07-11,MWG,43700.0,44200.0,43600.0,44150.0,14090930
2018-07-12,MWG,44050.0,44350.0,43450.0,43950.0,14982310
2018-07-13,MWG,43800.0,45200.0,43200.0,44950.0,16336511
2018-07-16,MWG,44800.0,44850.0,41550.0,42000.0,21822096
2018-07-17,MWG,42000.0,42400.0,41700.0,41900.0,14279145
2018-07-18,MWG,42300.0,42500.0,42000.0,42100.0,9786922
2018-07-19,MWG,41950.0,42600.0,41950.0,42400.0,14255355
2018-07-20,MWG,42250.0,42500.0,40700.0,40900.0,16826581
2018-07-23,MWG,41250.0,41550.0,41200.0,41400.0,13569121
2018-07-24,MWG,41650.0,42100.0,41600.0,41950.0,11652391
2018-07-25,MWG,41750.0,42650.0,41500.0,42650.0,11545025
2018-07-26,MWG,42800.0,43400.0,41750.0,42000.0,14679257
2018-07-27,MWG,42050.0,42700.0,41800.0,42550.0,13176422
2018-07-30,MWG,42600.0,43700.0,42450.0,43650.0,13974317
2018-07-31,MWG,43750.0,44100.0,43250.0,44000.0,13970973
2018-08-01,MWG,43850.0,44550.0,43400.0,44500.0,13801150
2018-08-02,MWG,44900.0,44950.0,42900.0,43250.0,17811167
2018-08-03,MWG,43250.0,44000.0,43150.0,43850.0,12103699
2018-08-06,MWG,43850.0,44350.0,41900.0,42100.0,15078371
2018-08-07,MWG,42150.0,42600.0,40450.0,40800.0,17694543
2018-08-08,MWG,40950.0,41050.0,40400.0,40600.0,10574305
2018-08-09,MWG,40550.0,42050.0,40400.0,41950.0,17572301
2018-08-10,MWG,42000.0,42100.0,41600.0,42000.0,11936122
2018-08-13,MWG,41950.0,42200.0,41600.0,42000.0,9119965
2018-08-14,MWG,42100.0,42200.0,41750.0,41950.0,12603340
2018-08-15,MWG,42150.0,42450.0,41100.0,41200.0,15308326
2018-08-16,MWG,41150.0,43600.0,40750.0,43000.0,19172042
2018-08-17,MWG,43350.0,43550.0,42650.0,42800.0,8746556
2018-08-20,MWG,42900.0,43000.0,42450.0,42750.0,14086398
2018-08-21,MWG,42600.0,42850.0,42300.0,42800.0,12749435
2018-08-22,MWG,42600.0,43200.0,42400.0,42800.0,15125228
2018-08-23,MWG,42750.0,43550.0,42550.0,43450.0,14501219
2018-08-24,MWG,43650.0,43800.0,43500.0,43750.0,8813307
2018-08-27,MWG,43900.0,44300.0,41800.0,42200.0,17044448
2018-08-28,MWG,42350.0,45050.0,41950.0,44650.0,16335329
2018-08-29,MWG,44650.0,44700.0,43650.0,43800.0,14119699
2018-08-30,MWG,43650.0,43950.0,43400.0,43850.0,11401595
2018-08-31,MWG,43400.0,44650.0,43300.0,44550.0,10464467
2018-09-03,MWG,44850.0,44950.0,43300.0,43350.0,15114526
2018-09-04,MWG,43450.0,44350.0,43400.0,44350.0,13143317
2018-09-05,MWG,44250.0,44550.0,43650.0,43700.0,11470721
2018-09-06,MWG,43450.0,43600.0,43050.0,43250.0,12804138
2018-09-07,MWG,43300.0,43500.0,42650.0,42900.0,9838998
2018-09-10,MWG,43150.0,43300.0,42050.0,42300.0,13641273
2018-09-11,MWG,42550.0,43350.0,42400.0,42900.0,14200580
2018-09-12,MWG,42700.0,44650.0,42700.0,44600.0,14967430
2018-09-13,MWG,44200.0,44200.0,43250.0,43350.0,9070724
2018-09-14,MWG,43200.0,43650.0,43000.0,43250.0,9034309
2018-09-17,MWG,43350.0,43350.0,42850.0,42950.0,8303242
2018-09-18,MWG,42800.0,44600.0,42700.0,44300.0,13574134
2018-09-19,MWG,44350.0,45250.0,42850.0,43250.0,13150662
2018-09-20,MWG,42950.0,43800.0,42750.0,43600.0,12315956
2018-09-21,MWG,43550.0,43650.0,41850.0,42450.0,17354317
2018-09-24,MWG,42400.0,42800.0,40750.0,41000.0,17854655
2018-09-25,MWG,40900.0,41050.0,40450.0,40750.0,13752944
2018-09-26,MWG,41000.0,41100.0,40200.0,40500.0,10750348
2018-09-27,MWG,40550.0,41400.0,40350.0,41050.0,11426049
2018-09-28,MWG,41300.0,41700.0,41000.0,41050.0,10875020
2018-10-01,MWG,40900.0,43000.0,40850.0,42850.0,12558733
2018-10-02,MWG,42900.0,43800.0,42600.0,43400.0,15569540
2018-10-03,MWG,43050.0,43600.0,43000.0,43550.0,7785582
2018-10-04,MWG,43650.0,44950.0,43600.0,44850.0,14353094
2018-10-05,MWG,44850.0,46100.0,44350.0,46000.0,16686099
2018-10-08,MWG,46350.0,46750.0,44750.0,45150.0,12348605
2018-10-09,MWG,45350.0,46050.0,45150.0,46050.0,14650554
2018-10-10,MWG,46100.0,46250.0,45300.0,45450.0,15077796
2018-10-11,MWG,45550.0,46650.0,45450.0,46300.0,15309950
2018-10-12,MWG,46250.0,46650.0,45700.0,45700.0,13007975
2018-10-15,MWG,46050.0,47450.0,45750.0,47100.0,10702749
2018-10-16,MWG,47000.0,47150.0,45700.0,45950.0,12540859
2018-10-17,MWG,45800.0,46300.0,45600.0,46150.0,8059357
2018-10-18,MWG,46000.0,46400.0,45700.0,45750.0,14471404
2018-10-19,MWG,45550.0,46100.0,45450.0,45950.0,9193790
2018-10-22,MWG,46050.0,46150.0,45400.0,45750.0,10443927
2018-10-23,MWG,45950.0,46400.0,45700.0,46250.0,12441093
2018-10-24,MWG,46000.0,47700.0,45600.0,47650.0,17999550
2018-10-25,MWG,47650.0,48750.0,47250.0,48100.0,11494896
2018-10-26,MWG,48300.0,48500.0,46300.0,46550.0,16680995
2018-10-29,MWG,46400.0,46500.0,45700.0,46150.0,13708840
2018-10-30,MWG,45800.0,46000.0,45300.0,45450.0,12235786
2018-10-31,MWG,45250.0,45350.0,44950.0,45050.0,9131861
2018-11-01,MWG,45200.0,45800.0,45100.0,45750.0,12936246
2018-11-02,MWG,45800.0,46050.0,45650.0,45900.0,10909727
2018-11-05,MWG,45750.0,46100.0,45400.0,45550.0,12564665
2018-11-06,MWG,45450.0,45450.0,43700.0,44150.0,12120658
2018-11-07,MWG,44300.0,44750.0,43250.0,43500.0,12095491
2018-11-08,MWG,43500.0,44750.0,42900.0,44550.0,14254784
2018-11-09,MWG,44500.0,44650.0,43900.0,44650.0,13587027
2018-11-12,MWG,45000.0,46500.0,44950.0,46100.0,16907664
2018-11-13,MWG,45900.0,47900.0,45650.0,47750.0,15660670
2018-11-14,MWG,47600.0,47800.0,47000.0,47750.0,14401454
2018-11-15,MWG,48050.0,49400.0,47950.0,49300.0,13068085
2018-11-16,MWG,49200.0,50600.0,49100.0,50450.0,9860584
2018-11-19,MWG,50300.0,50400.0,49750.0,50000.0,11586090
2018-11-20,MWG,49950.0,50300.0,49400.0,49450.0,12957735
2018-11-21,MWG,49300.0,51100.0,49050.0,51100.0,12417841
2018-11-22,MWG,51400.0,51850.0,50100.0,50250.0,11232202
2018-11-23,MWG,50600.0,50800.0,47850.0,48100.0,18243636
2018-11-26,MWG,47900.0,50450.0,47650.0,50400.0,13258075
2018-11-27,MWG,50400.0,50500.0,48600.0,49000.0,11585790
2018-11-28,MWG,48850.0,49000.0,47450.0,47700.0,14856687
2018-11-29,MWG,47600.0,50550.0,46950.0,50150.0,17759359
2018-11-30,MWG,49900.0,50800.0,49050.0,50600.0,14018016
2018-12-03,MWG,50550.0,52100.0,50500.0,51750.0,10003609
2018-12-04,MWG,51950.0,53600.0,51650.0,52900.0,11357307
2018-12-05,MWG,53000.0,53000.0,52650.0,52700.0,8336613
2018-12-06,MWG,53050.0,53250.0,51050.0,51100.0,14783531
2018-12-07,MWG,51100.0,51100.0,50650.0,51100.0,10868463
2018-12-10,MWG,51100.0,51100.0,49300.0,49700.0,12244615
2018-12-11,MWG,49950.0,50700.0,49900.0,50650.0,13989899
2018-12-12,MWG,50850.0,51800.0,50150.0,51750.0,15169224
2018-12-13,MWG,51800.0,51850.0,50150.0,50400.0,15464167
2018-12-14,MWG,50600.0,53350.0,50550.0,53200.0,17831451
2018-12-17,MWG,52850.0,52850.0,52600.0,52750.0,11472924
2018-12-18,MWG,52850.0,53000.0,51600.0,51600.0,13569836
2018-12-19,MWG,51300.0,51600.0,49250.0,49350.0,16580950
2018-12-20,MWG,49050.0,51200.0,48800.0,50950.0,14194611
2018-12-21,MWG,50650.0,50700.0,47050.0,47450.0,17636277
2018-12-24,MWG,47300.0,48050.0,46150.0,46550.0,11669565
2018-12-25,MWG,46300.0,46500.0,45950.0,46050.0,8680822
2018-12-26,MWG,45950.0,46400.0,44200.0,44250.0,15574892
2018-12-27,MWG,44050.0,45300.0,43700.0,45300.0,10551478
2018-12-28,MWG,45100.0,46700.0,44950.0,46250.0,14174661
2018-12-31,MWG,46100.0,46200.0,44300.0,44500.0,13902582
2019-01-01,MWG,44650.0,44950.0,42550.0,42650.0,15443611
2019-01-02,MWG,42450.0,42600.0,41900.0,41900.0,13827275
2019-01-03,MWG,41950.0,42900.0,41700.0,42600.0,11779306
2019-01-04,MWG,42400.0,43100.0,41600.0,41800.0,15759182
2019-01-07,MWG,42100.0,42550.0,41950.0,42300.0,11240582
2019-01-08,MWG,41850.0,41950.0,41050.0,41550.0,14112204
2019-01-09,MWG,41500.0,42200.0,41100.0,42100.0,13490231
2019-01-10,MWG,42050.0,42800.0,41650.0,42250.0,14642123
2019-01-11,MWG,42300.0,42500.0,42000.0,42100.0,9530712
2019-01-14,MWG,41900.0,42250.0,41550.0,41800.0,14448994
2019-01-15,MWG,41750.0,44050.0,41350.0,43800.0,17882301
2019-01-16,MWG,43550.0,43950.0,43200.0,43500.0,13151278
2019-01-17,MWG,43700.0,45350.0,43550.0,44800.0,15072832
2019-01-18,MWG,45050.0,45300.0,44750.0,44800.0,10267581
2019-01-21,MWG,44900.0,45000.0,44050.0,44150.0,14519552
2019-01-22,MWG,44450.0,44700.0,43950.0,44000.0,11522456
2019-01-23,MWG,44400.0,44400.0,44400.0,44400.0,7763221
2019-01-24,MWG,44400.0,47150.0,44200.0,46850.0,16683859
2019-01-25,MWG,46850.0,47400.0,46800.0,47050.0,9820712
2019-01-28,MWG,47100.0,47150.0,46300.0,46400.0,8834015
2019-01-29,MWG,46550.0,47000.0,46400.0,46800.0,9394803
2019-01-30,MWG,46950.0,47150.0,46950.0,47000.0,8731113
2019-01-31,MWG,46900.0,47100.0,45700.0,45700.0,16308016
2019-02-01,MWG,45750.0,46200.0,45700.0,46100.0,12298329
2019-02-04,MWG,46100.0,46450.0,45550.0,45600.0,12448586
2019-02-05,MWG,45950.0,46950.0,45950.0,46800.0,10319501
2019-02-06,MWG,47050.0,47200.0,45150.0,45450.0,16947132
2019-02-07,MWG,45600.0,45750.0,45500.0,45550.0,9606535
2019-02-08,MWG,45500.0,45850.0,44350.0,44850.0,10364909
2019-02-11,MWG,44900.0,45300.0,44700.0,44750.0,11192129
2019-02-12,MWG,44600.0,45300.0,44550.0,45150.0,14742558
2019-02-13,MWG,45000.0,45100.0,43550.0,43550.0,14123374
2019-02-14,MWG,43250.0,43850.0,43150.0,43700.0,14636684
2019-02-15,MWG,43550.0,44000.0,43200.0,43600.0,13297379
2019-02-18,MWG,43450.0,43500.0,42700.0,43200.0,13794702
2019-02-19,MWG,43200.0,43300.0,42250.0,42750.0,15864400
2019-02-20,MWG,43050.0,43150.0,42500.0,42500.0,11885528
2019-02-21,MWG,42250.0,43550.0,41900.0,43300.0,14635114
2019-02-22,MWG,43350.0,43450.0,42900.0,43200.0,8285201
2019-02-25,MWG,43100.0,43400.0,42100.0,42400.0,12987918
2019-02-26,MWG,42100.0,42300.0,41750.0,41950.0,8254242
2019-02-27,MWG,41800.0,41850.0,41100.0,41200.0,12322983
2019-02-28,MWG,41350.0,41650.0,40300.0,40650.0,13532113
2019-03-01,MWG,40550.0,41000.0,40300.0,40650.0,8463772
2019-03-04,MWG,40550.0,40700.0,39550.0,39650.0,10600994
2019-03-05,MWG,39700.0,39800.0,38500.0,38600.0,16031371
2019-03-06,MWG,38600.0,38750.0,37650.0,37700.0,11019751
2019-03-07,MWG,37550.0,37550.0,36550.0,36950.0,15831379
2019-03-08,MWG,36850.0,37350.0,36750.0,37250.0,12508020
2019-03-11,MWG,37150.0,37300.0,36900.0,37050.0,12901608
2019-03-12,MWG,36900.0,38250.0,36650.0,37850.0,16153579
2019-03-13,MWG,38050.0,38950.0,37800.0,38900.0,15606022
2019-03-14,MWG,39000.0,39100.0,37900.0,38600.0,13641503
2019-03-15,MWG,38750.0,38800.0,38650.0,38650.0,11130264
2019-03-18,MWG,38550.0,39650.0,38350.0,39300.0,15310062
2019-03-19,MWG,39350.0,40350.0,39100.0,40250.0,10311440
2019-03-20,MWG,40550.0,40700.0,39300.0,39300.0,14325883
2019-03-21,MWG,39450.0,39500.0,38950.0,39350.0,11855745
2019-03-22,MWG,39400.0,39950.0,39250.0,39850.0,11288414
2019-03-25,MWG,39700.0,39750.0,39350.0,39550.0,8273272
2019-03-26,MWG,39400.0,40400.0,39350.0,40050.0,15843145
2019-03-27,MWG,40250.0,40400.0,38850.0,39000.0,13517650
2019-03-28,MWG,39200.0,40400.0,39100.0,40150.0,16061419
2019-03-29,MWG,40100.0,40200.0,38900.0,39150.0,16921293
2019-04-01,MWG,39150.0,39150.0,37600.0,37950.0,17650191
2019-04-02,MWG,38100.0,38700.0,38000.0,38250.0,8320312
2019-04-03,MWG,38300.0,38850.0,38200.0,38650.0,11794162
2019-04-04,MWG,38550.0,38850.0,38150.0,38200.0,9589983
2019-04-05,MWG,38700.0,38700.0,36150.0,36300.0,16092921
2019-04-08,MWG,36250.0,36500.0,35650.0,35900.0,9292889
2019-04-09,MWG,35900.0,36550.0,35600.0,36450.0,14637370
2019-04-10,MWG,36200.0,36550.0,36200.0,36450.0,13216708
2019-04-11,MWG,36550.0,37800.0,36450.0,37400.0,15954115
2019-04-12,MWG,37350.0,37650.0,37200.0,37450.0,9122400
2019-04-15,MWG,37200.0,37300.0,37100.0,37250.0,11215468
2019-04-16,MWG,37450.0,37450.0,36300.0,36500.0,11163752
2019-04-17,MWG,36600.0,36750.0,36350.0,36500.0,10733148
2019-04-18,MWG,36350.0,37650.0,36150.0,37550.0,11535107
2019-04-19,MWG,37450.0,38150.0,37150.0,38150.0,11379438
2019-04-22,MWG,38200.0,38250.0,38000.0,38150.0,9432397
2019-04-23,MWG,37850.0,38300.0,37250.0,37300.0,10795012
2019-04-24,MWG,37200.0,38500.0,37000.0,38200.0,14118236
2019-04-25,MWG,38400.0,38800.0,37450.0,37500.0,12271078
2019-04-26,MWG,37550.0,38350.0,37150.0,38150.0,14514130
2019-04-29,MWG,38100.0,39050.0,37900.0,39050.0,10565815
2019-04-30,MWG,39300.0,40600.0,38950.0,40250.0,17348274
2019-05-01,MWG,40250.0,40750.0,39700.0,39900.0,12774465
2019-05-02,MWG,40150.0,40350.0,39900.0,40050.0,11175914
2019-05-03,MWG,40000.0,41000.0,39600.0,40650.0,15955609
2019-05-06,MWG,40600.0,40750.0,39100.0,39250.0,11540031
2019-05-07,MWG,39100.0,39200.0,38800.0,38950.0,12945293
2019-05-08,MWG,38700.0,38750.0,38700.0,38700.0,11543185
2019-05-09,MWG,38900.0,39150.0,38050.0,38050.0,12856522
2019-05-10,MWG,38200.0,38900.0,38050.0,38700.0,14145339
2019-05-13,MWG,39050.0,39250.0,38800.0,38850.0,9604586
2019-05-14,MWG,38500.0,38800.0,37650.0,37650.0,15071033
2019-05-15,MWG,37800.0,37900.0,36950.0,37050.0,10530714
2019-05-16,MWG,37150.0,37250.0,36550.0,36950.0,11477250
2019-05-17,MWG,37050.0,37800.0,36800.0,37450.0,11371393
2019-05-20,MWG,37250.0,39000.0,37100.0,38400.0,18527233
2019-05-21,MWG,38600.0,39650.0,38500.0,39450.0,14371150
2019-05-22,MWG,39850.0,40250.0,39450.0,40200.0,8979590
2019-05-23,MWG,40350.0,40400.0,39550.0,39600.0,14773115
2019-05-24,MWG,39650.0,41550.0,39400.0,41250.0,17247581
2019-05-27,MWG,41000.0,42000.0,41000.0,41800.0,12986376
2019-05-28,MWG,41800.0,42100.0,41550.0,42000.0,13413622
2019-05-29,MWG,42150.0,42150.0,41650.0,42000.0,10216942
2019-05-30,MWG,41900.0,42050.0,40650.0,40800.0,10479896
2019-05-31,MWG,40750.0,40800.0,39250.0,39300.0,14578987
2019-06-03,MWG,39200.0,41100.0,38850.0,40850.0,14203646
2019-06-04,MWG,40900.0,41350.0,39900.0,40050.0,10763534
2019-06-05,MWG,40100.0,40200.0,38500.0,38850.0,15059607
2019-06-06,MWG,39000.0,40600.0,38950.0,40500.0,17022426
2019-06-07,MWG,40750.0,41800.0,40400.0,41500.0,15075520
2019-06-10,MWG,41300.0,42000.0,41250.0,41850.0,13674162
2019-06-11,MWG,41850.0,42200.0,41200.0,41550.0,13375167
2019-06-12,MWG,41450.0,42000.0,40950.0,41850.0,12655489
2019-06-13,MWG,41800.0,42300.0,41350.0,41600.0,9673208
2019-06-14,MWG,41650.0,43350.0,41600.0,42950.0,12402442
2019-06-17,MWG,42650.0,44900.0,42300.0,44250.0,19942761
2019-06-18,MWG,44150.0,45200.0,44100.0,45050.0,13293635
2019-06-19,MWG,44850.0,45200.0,44700.0,44850.0,11298259
2019-06-20,MWG,44600.0,44700.0,44200.0,44650.0,14008536
2019-06-21,MWG,44850.0,45050.0,44700.0,44700.0,13576828
2019-06-24,MWG,44500.0,45550.0,44200.0,45000.0,12274864
2019-06-25,MWG,45300.0,47000.0,44900.0,46600.0,13014561
2019-06-26,MWG,46400.0,47550.0,46050.0,47100.0,12851349
2019-06-27,MWG,46900.0,46950.0,46750.0,46850.0,11241259
2019-06-28,MWG,46850.0,47750.0,46700.0,47250.0,13511009
2019-07-01,MWG,47400.0,48250.0,47200.0,47800.0,14122237
